用户码,日期,客户端,性别
332491,11/26/2020,电脑,女
354904,10/31/2020,电脑,男
428699,11/18/2020,电脑,女
446752,10/27/2020,电脑,女
273073,11/2/2020,电脑,男
363656,12/6/2020,手机,男
428818,1/21/2021,电脑,男
224269,1/20/2021,电脑,女
293168,1/6/2021,电脑,男
264578,10/19/2020,电脑,女
344575,1/7/2021,电脑,女
342067,1/8/2021,电脑,女
343375,1/28/2021,手机,女
351496,1/9/2021,手机,男
471410,12/8/2020,手机,女
376486,10/3/2020,电脑,男
339211,1/16/2021,电脑,男
451713,12/6/2020,电脑,男
373296,1/20/2021,手机,女
267537,10/13/2020,电脑,女
290981,12/5/2020,电脑,女
358298,11/25/2020,手机,女
383011,12/31/2020,电脑,女
205816,11/7/2020,电脑,男
252436,12/12/2020,手机,男
467409,12/17/2020,电脑,女
373707,10/12/2020,手机,女
289638,10/9/2020,手机,女
271305,12/18/2020,电脑,女
265636,10/5/2020,手机,女
218896,10/31/2020,电脑,女
438882,11/28/2020,电脑,女
246214,11/26/2020,电脑,女
226478,10/14/2020,电脑,女
379147,12/28/2020,电脑,男
380382,1/18/2021,电脑,男
250489,11/26/2020,手机,女
344342,1/12/2021,手机,男
453599,11/30/2020,电脑,女
465921,1/3/2021,电脑,女
410510,10/10/2020,手机,女
494936,1/24/2021,手机,女
288862,11/15/2020,电脑,男
469691,11/13/2020,电脑,男
467590,10/28/2020,电脑,男
222172,12/2/2020,手机,男
384783,1/10/2021,电脑,女
458121,10/9/2020,电脑,男
233383,11/17/2020,电脑,男
335805,11/14/2020,电脑,男
256979,12/19/2020,手机,女
364183,1/8/2021,电脑,男
232101,1/21/2021,电脑,女
462829,11/6/2020,电脑,男
248103,1/12/2021,电脑,男
472235,12/16/2020,电脑,男
482234,12/15/2020,电脑,女
361926,10/24/2020,电脑,男
207873,11/8/2020,电脑,男
211338,12/21/2020,电脑,男
261068,11/16/2020,电脑,男
391728,11/11/2020,电脑,女
385689,11/29/2020,电脑,女
200253,10/5/2020,电脑,女
452377,11/4/2020,手机,男
412382,10/7/2020,电脑,男
229952,12/28/2020,电脑,女
411172,10/17/2020,手机,男
313001,10/17/2020,电脑,女
464271,1/21/2021,手机,男
210990,10/11/2020,手机,男
495761,11/29/2020,手机,男
394208,1/18/2021,电脑,男
215530,11/19/2020,手机,女
440987,1/22/2021,电脑,女
401535,1/14/2021,电脑,男
218248,11/16/2020,电脑,男
274386,10/13/2020,电脑,女
226116,1/26/2021,电脑,男
376911,11/11/2020,电脑,男
323161,12/22/2020,电脑,男
432084,10/15/2020,电脑,男
208391,12/10/2020,电脑,女
317273,1/17/2021,手机,男
299452,12/9/2020,电脑,男
399034,10/22/2020,手机,女
300938,1/12/2021,电脑,女
376026,1/7/2021,电脑,女
483510,10/13/2020,手机,男
442646,10/12/2020,电脑,女
468752,11/14/2020,电脑,男
315358,12/31/2020,电脑,女
259892,1/18/2021,手机,女
482266,10/28/2020,电脑,男
393415,10/13/2020,手机,男
353026,12/20/2020,手机,女
366921,1/28/2021,电脑,男
342504,10/16/2020,手机,女
283907,12/10/2020,电脑,男
256321,1/7/2021,手机,女
478708,1/6/2021,电脑,男
252265,1/26/2021,手机,女
426270,1/27/2021,电脑,女
329114,11/14/2020,手机,女
235618,11/27/2020,电脑,男
255479,10/31/2020,电脑,女
366243,11/14/2020,电脑,男
303226,1/3/2021,电脑,女
223170,1/24/2021,电脑,女
413908,11/3/2020,电脑,女
446552,11/1/2020,电脑,男
208377,10/22/2020,手机,女
481860,1/26/2021,电脑,男
388804,12/31/2020,电脑,男
251775,11/29/2020,手机,女
409903,11/17/2020,手机,男
340669,11/8/2020,电脑,男
285133,10/18/2020,手机,男
362791,11/3/2020,电脑,男
272648,11/4/2020,电脑,女
259984,11/22/2020,电脑,女
490011,12/18/2020,电脑,女
427235,11/21/2020,电脑,男
227073,1/10/2021,电脑,女
246434,12/28/2020,电脑,女
402780,10/11/2020,电脑,男
265414,11/8/2020,电脑,男
459863,12/9/2020,电脑,男
443608,1/11/2021,电脑,男
497969,11/14/2020,电脑,男
393202,12/26/2020,手机,男
422459,10/8/2020,电脑,男
274876,11/10/2020,电脑,女
393413,11/21/2020,电脑,女
352797,10/4/2020,电脑,女
451281,1/28/2021,电脑,男
473678,1/28/2021,电脑,女
335498,1/6/2021,电脑,男
452175,12/5/2020,电脑,女
410837,1/11/2021,手机,男
426481,1/18/2021,电脑,女
298039,11/15/2020,电脑,女
221610,10/24/2020,手机,男
244270,11/6/2020,电脑,女
416842,12/6/2020,手机,女
242849,1/8/2021,电脑,男
428522,11/11/2020,手机,女
394988,10/16/2020,电脑,男
273683,11/16/2020,手机,男
473509,1/20/2021,电脑,男
423563,11/23/2020,电脑,女
488502,11/13/2020,电脑,男
255663,1/2/2021,电脑,男
443358,12/27/2020,手机,男
384010,11/16/2020,手机,女
382694,12/24/2020,电脑,女
287514,12/25/2020,电脑,男
327593,12/15/2020,手机,男
253935,11/4/2020,手机,男
301796,12/19/2020,电脑,女
478621,10/12/2020,电脑,女
324484,12/24/2020,电脑,女
419164,10/13/2020,电脑,女
323319,11/3/2020,电脑,女
258255,12/19/2020,电脑,男
438611,10/29/2020,手机,男
282479,11/12/2020,电脑,女
221096,10/12/2020,手机,女
462399,11/22/2020,手机,男
438216,11/21/2020,电脑,男
488449,11/27/2020,手机,男
226788,1/24/2021,电脑,女
388013,1/15/2021,手机,男
329670,10/31/2020,电脑,男
367887,12/20/2020,手机,男
365986,11/14/2020,电脑,男
428824,12/20/2020,电脑,女
490269,10/4/2020,电脑,女
217466,12/19/2020,电脑,女
435234,12/26/2020,电脑,男
486261,10/16/2020,电脑,男
208734,1/8/2021,手机,女
436483,12/18/2020,电脑,男
357459,11/11/2020,电脑,男
371172,10/1/2020,电脑,女
322363,10/30/2020,手机,男
482050,12/16/2020,电脑,男
319982,10/15/2020,电脑,男
419917,10/10/2020,电脑,女
339573,1/18/2021,手机,女
434371,1/2/2021,电脑,女
368263,1/26/2021,电脑,女
253858,12/1/2020,电脑,男
490528,12/5/2020,电脑,女
453557,10/22/2020,手机,女
402339,10/8/2020,电脑,女
202647,10/26/2020,手机,女
309512,1/21/2021,电脑,男
497839,1/7/2021,电脑,男
218483,10/27/2020,电脑,男
351528,10/4/2020,电脑,女
292815,1/15/2021,手机,男
497317,11/25/2020,电脑,女
450376,11/9/2020,电脑,男
270547,10/6/2020,电脑,女
460392,12/25/2020,电脑,男
294081,1/26/2021,手机,女
465183,11/3/2020,电脑,女
461595,10/24/2020,手机,女
480722,12/21/2020,电脑,女
279153,12/2/2020,电脑,男
407421,10/19/2020,电脑,女
308852,12/25/2020,手机,女
294631,11/7/2020,手机,女
248158,11/12/2020,手机,女
263799,12/23/2020,手机,男
304245,10/31/2020,手机,女
392701,11/26/2020,电脑,女
488689,12/27/2020,电脑,女
348085,1/7/2021,手机,男
453739,11/16/2020,电脑,男
386524,1/4/2021,电脑,男
226052,11/7/2020,手机,女
476704,11/29/2020,电脑,男
439591,1/17/2021,电脑,男
225490,11/19/2020,电脑,男
442556,10/15/2020,电脑,女
229193,12/8/2020,电脑,女
401772,12/9/2020,手机,女
356185,12/2/2020,电脑,女
459661,12/2/2020,电脑,男
335022,12/25/2020,电脑,女
425369,1/5/2021,电脑,男
460620,12/5/2020,手机,女
229143,10/4/2020,电脑,女
294540,12/15/2020,电脑,男
214504,12/9/2020,手机,男
298488,12/10/2020,电脑,男
238947,12/18/2020,电脑,男
257531,1/25/2021,手机,男
350793,11/16/2020,手机,男
226658,10/2/2020,手机,男
226506,11/4/2020,电脑,男
380651,10/12/2020,手机,男
343607,1/17/2021,电脑,男
314579,10/20/2020,电脑,女
472676,12/30/2020,电脑,男
336974,12/20/2020,手机,女
470187,10/29/2020,电脑,女
250998,10/28/2020,手机,男
224404,1/8/2021,手机,女
392112,10/4/2020,电脑,男
419186,1/10/2021,电脑,女
388648,11/30/2020,电脑,女
315836,11/20/2020,电脑,男
359227,1/7/2021,电脑,女
425821,10/30/2020,电脑,女
271871,1/26/2021,电脑,男
384639,10/25/2020,电脑,男
407003,10/27/2020,手机,男
366321,11/28/2020,电脑,男
350962,10/10/2020,电脑,女
491494,11/24/2020,电脑,男
285590,11/27/2020,手机,女
479646,11/13/2020,电脑,男
279066,1/27/2021,手机,女
325236,11/11/2020,手机,女
309119,10/26/2020,电脑,男
405399,1/7/2021,手机,男
407338,10/21/2020,电脑,女
396365,11/10/2020,电脑,男
428947,11/23/2020,手机,女
245981,12/8/2020,手机,女
492590,12/7/2020,电脑,男
427260,1/28/2021,手机,男
292856,10/13/2020,电脑,男
396533,1/28/2021,电脑,女
312517,10/11/2020,电脑,女
271594,12/30/2020,电脑,女
403214,10/15/2020,手机,女
390588,10/26/2020,电脑,女
321876,1/22/2021,电脑,男
328287,10/19/2020,电脑,男
251805,11/2/2020,手机,女
255992,10/27/2020,电脑,男
303067,1/14/2021,手机,女
283854,11/17/2020,电脑,男
411980,12/15/2020,电脑,女
231086,10/27/2020,手机,女
411407,11/21/2020,电脑,男
418223,11/25/2020,电脑,女
212191,11/2/2020,电脑,男
217524,12/23/2020,手机,女
205467,1/15/2021,电脑,女
349716,10/10/2020,电脑,男
228247,11/21/2020,电脑,女
335768,1/26/2021,电脑,男
243246,12/28/2020,手机,女
251637,12/3/2020,手机,男
469111,12/6/2020,电脑,男
244976,12/15/2020,手机,男
251616,12/15/2020,手机,男
250259,10/7/2020,电脑,男
246694,11/16/2020,电脑,女
321032,11/7/2020,电脑,女
208135,11/14/2020,电脑,女
467030,12/22/2020,电脑,男
335643,11/8/2020,电脑,女
279379,12/1/2020,电脑,女
361524,10/31/2020,电脑,女
394456,12/29/2020,电脑,女
391970,12/2/2020,手机,男
475127,12/7/2020,电脑,女
422334,11/28/2020,手机,女
414979,10/26/2020,电脑,男
364360,1/19/2021,电脑,男
311225,12/26/2020,电脑,男
309169,11/22/2020,电脑,女
328333,1/1/2021,手机,女
255956,11/19/2020,电脑,女
305216,10/30/2020,电脑,男
402518,1/20/2021,电脑,男
284344,10/8/2020,手机,女
360441,1/15/2021,电脑,男
312690,1/21/2021,电脑,女
457213,1/21/2021,手机,男
352075,10/4/2020,手机,女
313674,1/26/2021,手机,男
296275,11/23/2020,手机,男
446411,11/22/2020,电脑,女
351180,10/24/2020,电脑,男
475319,11/13/2020,手机,男
488693,10/16/2020,电脑,男
339058,12/1/2020,手机,男
486216,10/26/2020,电脑,男
263565,1/25/2021,电脑,女
385389,1/19/2021,手机,女
302098,1/26/2021,电脑,男
285350,1/20/2021,手机,女
399581,1/13/2021,电脑,女
237183,11/7/2020,电脑,男
404999,10/20/2020,电脑,女
441942,11/5/2020,电脑,女
373433,1/12/2021,电脑,女
406715,1/22/2021,电脑,女
406935,12/10/2020,电脑,男
466791,11/23/2020,手机,男
309965,10/1/2020,电脑,女
207849,1/14/2021,手机,女
307838,1/17/2021,电脑,男
467044,10/8/2020,电脑,男
392211,1/23/2021,电脑,女
218267,1/28/2021,电脑,男
363835,10/19/2020,电脑,男
322620,11/30/2020,电脑,女
266863,10/9/2020,电脑,男
234729,10/9/2020,电脑,女
310434,10/4/2020,电脑,男
224050,10/3/2020,手机,男
416746,10/25/2020,电脑,女
245094,1/28/2021,手机,男
245635,12/19/2020,手机,女
335083,12/25/2020,电脑,女
395309,1/4/2021,电脑,男
267645,10/13/2020,电脑,女
346043,12/13/2020,手机,男
408768,11/10/2020,手机,女
254651,10/1/2020,手机,男
360791,10/22/2020,电脑,男
340977,1/23/2021,电脑,女
448610,1/18/2021,电脑,女
250520,11/2/2020,电脑,男
310538,11/21/2020,电脑,女
227085,11/25/2020,手机,男
387223,1/13/2021,手机,女
461061,11/27/2020,手机,女
401094,11/9/2020,手机,男
314122,10/2/2020,电脑,男
256930,10/10/2020,电脑,女
400428,10/8/2020,手机,女
288104,10/27/2020,电脑,女
289206,11/14/2020,电脑,男
429360,11/6/2020,手机,女
388590,11/23/2020,电脑,女
320744,12/1/2020,电脑,男
414013,12/9/2020,手机,男
476070,1/12/2021,电脑,男
461089,11/12/2020,手机,女
430166,11/23/2020,电脑,男
438854,10/26/2020,电脑,女
494279,11/25/2020,手机,女
257280,1/12/2021,手机,男
406140,12/11/2020,电脑,男
429550,1/4/2021,手机,男
264225,11/20/2020,电脑,女
316444,12/4/2020,电脑,女
483509,11/28/2020,电脑,女
280432,11/10/2020,手机,男
202273,1/23/2021,手机,男
419897,11/24/2020,电脑,男
458360,12/14/2020,手机,女
203232,1/6/2021,电脑,男
298218,12/8/2020,手机,女
310548,10/24/2020,电脑,男
292469,11/16/2020,电脑,女
208626,1/13/2021,电脑,女
219867,11/26/2020,电脑,男
387137,10/31/2020,电脑,女
327978,12/8/2020,手机,女
427458,1/21/2021,电脑,男
396337,11/16/2020,手机,女
311270,11/23/2020,电脑,女
387837,11/23/2020,电脑,女
455732,11/21/2020,电脑,男
423306,10/27/2020,电脑,女
310077,10/3/2020,手机,男
488153,11/28/2020,电脑,女
302861,10/16/2020,电脑,女
293485,10/16/2020,电脑,女
467017,12/19/2020,电脑,女
216382,12/28/2020,手机,女
416970,10/27/2020,电脑,男
462111,11/17/2020,电脑,女
343864,1/6/2021,电脑,男
476226,1/5/2021,电脑,女
240872,11/9/2020,手机,女
261202,12/3/2020,电脑,女
493938,10/3/2020,电脑,男
217606,10/12/2020,电脑,女
324500,10/7/2020,电脑,男
330376,12/4/2020,电脑,男
277476,12/7/2020,手机,男
218272,11/27/2020,电脑,男
340493,12/20/2020,电脑,女
376560,12/18/2020,电脑,男
390253,10/10/2020,电脑,男
459190,12/17/2020,手机,女
336715,12/18/2020,电脑,男
267437,11/5/2020,电脑,男
452731,10/8/2020,电脑,男
200963,10/12/2020,电脑,女
339839,11/2/2020,电脑,男
341797,11/3/2020,电脑,男
324212,10/28/2020,手机,男
251071,12/27/2020,手机,男
308107,11/19/2020,手机,女
424267,1/12/2021,电脑,女
315929,1/19/2021,电脑,女
282014,1/25/2021,手机,男
483354,1/8/2021,电脑,男
296653,1/28/2021,电脑,男
312401,1/7/2021,手机,男
320819,1/21/2021,电脑,女
336195,12/21/2020,电脑,女
315729,10/14/2020,电脑,男
370762,11/24/2020,电脑,女
387013,12/8/2020,电脑,女
323253,1/19/2021,手机,男
356715,11/5/2020,手机,男
486742,12/6/2020,电脑,男
269987,1/14/2021,电脑,男
387528,11/12/2020,手机,男
497815,10/20/2020,电脑,男
210082,1/15/2021,电脑,女
218043,11/4/2020,电脑,男
487988,11/7/2020,电脑,女
265934,1/15/2021,电脑,男
329701,11/28/2020,手机,女
235596,10/26/2020,手机,女
424027,10/2/2020,电脑,男
324237,10/15/2020,手机,男
479909,10/27/2020,手机,男
298348,12/16/2020,电脑,女
271169,1/3/2021,手机,男
311009,12/10/2020,电脑,女
489598,11/26/2020,电脑,女
448839,11/13/2020,手机,男
447721,12/26/2020,电脑,女
478635,1/17/2021,电脑,男
201067,12/6/2020,手机,男
236876,10/11/2020,电脑,男
419811,12/4/2020,电脑,男
304796,12/9/2020,电脑,男
200907,12/30/2020,电脑,男
421245,10/16/2020,电脑,女
343461,12/4/2020,电脑,女
434607,1/22/2021,电脑,女
456779,1/1/2021,手机,女
327623,11/17/2020,电脑,女
374504,1/19/2021,电脑,女
229438,12/2/2020,手机,男
238378,10/13/2020,电脑,男
409233,1/23/2021,电脑,男
481970,1/6/2021,电脑,男
349429,1/28/2021,电脑,女
395627,1/12/2021,手机,女
386764,11/30/2020,电脑,男
298184,12/2/2020,电脑,女
287106,12/1/2020,电脑,女
337064,12/26/2020,手机,女
220341,1/6/2021,电脑,男
337209,11/27/2020,手机,女
403556,12/4/2020,电脑,男
212533,1/20/2021,手机,女
202908,1/7/2021,电脑,男
288509,1/19/2021,手机,男
441186,10/30/2020,电脑,男
424192,12/30/2020,手机,男
229628,1/20/2021,电脑,女
358904,1/4/2021,手机,女
382251,11/27/2020,手机,男
476164,1/21/2021,电脑,男
452093,1/3/2021,电脑,男
230619,1/20/2021,电脑,女
397302,1/28/2021,电脑,男
303588,11/29/2020,电脑,男
280349,10/17/2020,电脑,女
494574,11/8/2020,电脑,男
397006,10/8/2020,电脑,男
439862,10/10/2020,电脑,女
209846,12/10/2020,电脑,男
436289,12/26/2020,电脑,女
294005,12/4/2020,电脑,男
473050,10/2/2020,电脑,男
349939,10/6/2020,电脑,女
424145,10/5/2020,手机,男
229673,11/9/2020,电脑,男
432553,1/1/2021,手机,男
498397,10/24/2020,电脑,男
447776,10/12/2020,手机,女
328381,1/26/2021,电脑,男
273717,10/30/2020,电脑,女
402082,12/4/2020,电脑,女
365762,12/17/2020,电脑,女
425098,11/12/2020,电脑,男
408131,1/17/2021,电脑,女
461075,11/4/2020,手机,男
338478,10/25/2020,手机,女
397934,12/21/2020,电脑,男
369443,12/26/2020,电脑,女
356842,1/7/2021,电脑,女
386137,11/20/2020,手机,女
477898,10/27/2020,手机,女
413380,12/10/2020,电脑,男
238010,12/26/2020,手机,男
337570,10/5/2020,电脑,女
405559,12/21/2020,电脑,女
462504,10/2/2020,手机,男
412152,12/15/2020,电脑,男
202805,12/11/2020,电脑,女
336538,10/17/2020,电脑,女
408096,11/21/2020,电脑,男
495333,11/23/2020,手机,男
387033,10/14/2020,电脑,男
206771,10/11/2020,手机,男
446044,11/19/2020,手机,男
436302,1/1/2021,电脑,女
406306,1/22/2021,电脑,女
332102,10/25/2020,电脑,男
219284,10/29/2020,手机,男
264654,1/4/2021,电脑,女
258889,1/17/2021,电脑,女
409974,1/22/2021,手机,男
376737,12/28/2020,手机,女
390340,12/27/2020,电脑,男
308332,11/5/2020,电脑,女
447598,12/14/2020,电脑,女
405255,12/3/2020,手机,女
275053,10/27/2020,电脑,女
311002,11/19/2020,手机,女
471477,10/29/2020,电脑,女
255280,12/21/2020,电脑,女
267595,11/30/2020,手机,男
211253,12/12/2020,电脑,男
322350,12/8/2020,电脑,女
264681,12/15/2020,手机,女
352029,11/29/2020,电脑,男
280309,10/9/2020,手机,女
348084,11/30/2020,电脑,女
465191,12/4/2020,电脑,男
220823,1/27/2021,电脑,女
231928,11/20/2020,电脑,女
464248,1/16/2021,手机,男
200802,10/6/2020,电脑,男
486721,10/21/2020,手机,男
312522,10/20/2020,电脑,女
445520,10/14/2020,电脑,男
279159,10/9/2020,电脑,男
218873,1/4/2021,电脑,男
464844,1/6/2021,电脑,女
289334,11/11/2020,手机,男
443677,12/25/2020,手机,女
419189,12/8/2020,电脑,女
307155,11/9/2020,电脑,男
475340,12/27/2020,手机,男
469338,10/26/2020,电脑,男
395732,11/26/2020,电脑,女
201990,12/3/2020,电脑,女
483583,12/31/2020,电脑,男
383727,10/28/2020,电脑,男
203614,1/26/2021,电脑,女
259240,11/3/2020,电脑,男
453679,1/4/2021,手机,男
368773,1/19/2021,手机,男
439632,12/5/2020,手机,男
411841,10/22/2020,电脑,女
205913,1/15/2021,电脑,女
461715,10/4/2020,电脑,女
399079,12/10/2020,电脑,女
366191,12/8/2020,电脑,男
447670,10/12/2020,电脑,男
472573,11/26/2020,手机,男
217476,11/19/2020,电脑,女
373139,12/24/2020,电脑,男
472614,1/19/2021,手机,女
301627,10/18/2020,手机,男
468609,10/6/2020,电脑,男
314667,12/28/2020,手机,女
407479,1/10/2021,手机,女
440694,12/31/2020,电脑,女
262502,11/19/2020,手机,男
260742,10/5/2020,电脑,男
421384,10/31/2020,电脑,男
392770,1/21/2021,电脑,男
411833,11/8/2020,手机,男
465859,10/2/2020,手机,女
428950,11/6/2020,手机,女
387672,1/25/2021,电脑,女
410361,12/9/2020,电脑,男
326010,1/13/2021,电脑,男
353371,10/10/2020,手机,男
421029,10/10/2020,电脑,女
258342,10/4/2020,电脑,女
210118,11/23/2020,电脑,男
476010,11/20/2020,手机,女
477338,11/24/2020,电脑,男
224958,10/28/2020,手机,男
367268,11/8/2020,手机,男
335858,11/6/2020,手机,女
446172,11/20/2020,手机,女
352344,10/23/2020,手机,男
411181,11/24/2020,电脑,女
420355,12/24/2020,电脑,女
493077,12/18/2020,电脑,女
234754,12/31/2020,电脑,男
284447,11/26/2020,电脑,女
479055,12/8/2020,电脑,男
428628,1/12/2021,电脑,女
432148,10/14/2020,电脑,女
453436,12/9/2020,手机,男
225550,10/29/2020,手机,女
234188,1/20/2021,手机,男
354342,10/30/2020,电脑,女
207711,1/24/2021,手机,男
425306,12/27/2020,电脑,女
394714,11/13/2020,电脑,女
345245,11/27/2020,电脑,女
494665,11/27/2020,电脑,男
306444,11/8/2020,电脑,女
496288,10/9/2020,电脑,男
460583,11/9/2020,电脑,男
443281,11/3/2020,手机,女
471095,11/14/2020,电脑,男
386385,10/1/2020,手机,男
415374,11/14/2020,电脑,男
383030,10/27/2020,电脑,男
350654,12/15/2020,电脑,男
409673,1/3/2021,电脑,男
368870,10/5/2020,手机,女
405239,10/29/2020,电脑,男
389823,1/12/2021,电脑,女
414015,12/29/2020,电脑,女
264043,10/30/2020,电脑,男
453721,1/9/2021,手机,男
351453,12/5/2020,电脑,女
299885,12/12/2020,手机,男
390585,11/13/2020,手机,女
282206,10/31/2020,电脑,男
442335,1/24/2021,电脑,男
446294,1/8/2021,电脑,女
360568,12/22/2020,电脑,男
426053,1/22/2021,手机,女
305369,12/24/2020,电脑,男
342293,11/7/2020,电脑,女
353351,11/6/2020,电脑,女
213341,11/29/2020,电脑,男
261403,11/25/2020,电脑,男
249837,11/2/2020,电脑,男
281840,11/1/2020,手机,男
329597,12/10/2020,电脑,男
241300,11/21/2020,电脑,男
256705,10/16/2020,手机,女
480523,1/9/2021,电脑,男
296184,12/25/2020,手机,男
480581,11/13/2020,手机,男
359370,12/27/2020,电脑,女
297287,10/3/2020,手机,男
279407,11/20/2020,手机,女
267534,12/7/2020,手机,男
307535,10/2/2020,手机,男
383125,12/20/2020,电脑,女
214775,1/7/2021,电脑,男
369771,10/10/2020,手机,男
318757,1/7/2021,手机,男
240676,11/19/2020,手机,男
445384,12/2/2020,电脑,女
345800,11/15/2020,电脑,女
477447,12/16/2020,电脑,女
460585,10/15/2020,电脑,女
204348,12/26/2020,手机,女
262841,12/23/2020,手机,女
325350,1/3/2021,电脑,男
458948,10/14/2020,手机,女
296623,11/26/2020,手机,女
291186,11/26/2020,手机,男
249661,1/27/2021,电脑,男
375820,12/26/2020,电脑,女
252107,12/26/2020,电脑,女
389043,12/18/2020,电脑,女
244900,10/27/2020,手机,男
354416,11/3/2020,电脑,女
379601,10/21/2020,手机,女
284361,10/11/2020,手机,男
469214,1/27/2021,手机,女
205826,11/24/2020,手机,男
476716,10/5/2020,电脑,女
317575,1/10/2021,电脑,男
424098,11/7/2020,电脑,女
365659,1/5/2021,电脑,女
398525,1/16/2021,手机,女
492307,12/30/2020,电脑,男
497550,10/28/2020,电脑,女
204740,11/14/2020,电脑,女
376443,11/12/2020,电脑,男
318994,11/3/2020,电脑,女
213022,12/22/2020,手机,男
437537,1/12/2021,电脑,女
349445,12/19/2020,手机,女
322838,1/10/2021,手机,男
276534,11/6/2020,电脑,女
316733,10/25/2020,电脑,女
336421,1/27/2021,手机,女
228488,1/8/2021,电脑,女
353292,11/20/2020,电脑,男
215552,11/28/2020,电脑,女
440403,10/12/2020,电脑,女
345695,11/19/2020,电脑,男
312154,11/2/2020,手机,男
274700,12/10/2020,电脑,女
463715,12/12/2020,电脑,女
460576,10/23/2020,电脑,男
284413,10/19/2020,手机,男
461898,11/15/2020,电脑,女
430738,11/6/2020,电脑,女
215898,12/14/2020,电脑,女
425596,11/17/2020,电脑,男
316869,12/30/2020,电脑,女
244521,1/22/2021,电脑,男
440845,1/11/2021,手机,女
443071,11/5/2020,电脑,男
340233,10/13/2020,电脑,男
386911,12/30/2020,手机,男
243289,1/20/2021,电脑,男
442648,11/8/2020,电脑,男
348643,10/15/2020,手机,男
264720,10/27/2020,电脑,女
376168,12/30/2020,手机,男
457996,11/30/2020,手机,女
435658,11/14/2020,手机,男
442185,10/10/2020,手机,男
204664,1/3/2021,电脑,女
246500,1/16/2021,电脑,男
448334,12/27/2020,电脑,男
492197,12/11/2020,电脑,男
213133,10/1/2020,电脑,女
462473,1/9/2021,电脑,女
304576,10/7/2020,电脑,女
246090,12/12/2020,电脑,男
353366,11/18/2020,手机,男
268107,11/8/2020,电脑,女
351732,1/20/2021,电脑,男
260538,12/2/2020,电脑,女
327731,10/1/2020,手机,男
399536,1/6/2021,手机,女
374951,10/23/2020,电脑,女
250698,10/14/2020,电脑,男
215391,1/27/2021,电脑,女
358942,12/23/2020,电脑,男
483769,1/10/2021,电脑,女
486964,12/24/2020,电脑,男
293305,1/15/2021,电脑,男
414863,10/22/2020,手机,男
405499,12/6/2020,电脑,男
429156,10/5/2020,电脑,女
280665,12/12/2020,电脑,女
329438,12/15/2020,手机,男
338566,12/13/2020,电脑,男
203044,12/10/2020,手机,男
216066,12/18/2020,电脑,女
236949,11/26/2020,手机,女
451955,12/30/2020,电脑,男
298204,11/20/2020,电脑,男
295054,12/8/2020,手机,男
447921,10/29/2020,手机,男
213467,1/16/2021,电脑,男
242029,10/15/2020,电脑,女
447476,12/22/2020,电脑,女
269267,11/19/2020,电脑,男
361133,12/16/2020,电脑,男
429055,10/31/2020,电脑,女
275388,10/1/2020,电脑,男
390665,10/14/2020,电脑,女
338955,10/15/2020,电脑,男
292785,10/10/2020,电脑,女
389992,1/2/2021,手机,女
384650,12/19/2020,电脑,女
222641,12/8/2020,电脑,男
435922,12/27/2020,电脑,男
223720,12/4/2020,手机,男
451707,1/17/2021,电脑,男
240909,11/28/2020,电脑,男
393681,10/10/2020,电脑,男
351141,1/3/2021,手机,男
406442,1/27/2021,电脑,女
407029,10/18/2020,电脑,男
437578,1/7/2021,手机,女
437412,11/4/2020,手机,女
455836,1/2/2021,电脑,男
296574,11/24/2020,手机,女
461839,11/16/2020,电脑,女
419312,1/12/2021,手机,女
482388,11/8/2020,电脑,男
482131,1/19/2021,电脑,男
327190,11/23/2020,手机,女
316676,1/20/2021,电脑,女
342052,1/15/2021,电脑,男
438806,12/18/2020,电脑,男
373298,1/17/2021,电脑,男
381189,1/20/2021,电脑,男
387759,12/7/2020,电脑,女
281759,10/13/2020,手机,男
439787,10/22/2020,手机,男
282746,1/18/2021,电脑,女
432428,1/16/2021,电脑,男
318243,12/28/2020,电脑,女
247221,1/27/2021,电脑,男
247091,10/4/2020,手机,女
422829,10/6/2020,电脑,男
297096,11/17/2020,电脑,女
292907,11/19/2020,电脑,女
426849,12/11/2020,手机,女
391132,11/25/2020,电脑,女
281927,12/25/2020,电脑,男
392438,11/12/2020,电脑,女
367188,1/28/2021,电脑,女
283632,11/30/2020,电脑,男
471111,1/8/2021,手机,男
339414,11/3/2020,手机,女
266149,12/8/2020,电脑,男
215913,1/1/2021,电脑,男
320897,1/24/2021,手机,男
497503,10/31/2020,电脑,女
317174,10/21/2020,手机,女
249183,12/22/2020,电脑,女
237776,11/2/2020,电脑,男
342234,10/2/2020,手机,女
371522,1/11/2021,手机,女
453322,12/20/2020,手机,男
372016,1/4/2021,手机,女
451663,10/22/2020,电脑,男
301223,1/14/2021,电脑,女
492875,11/17/2020,电脑,女
325961,11/28/2020,电脑,女
435963,1/17/2021,电脑,女
214702,12/25/2020,手机,男
205112,1/9/2021,手机,女
226921,1/1/2021,电脑,男
273870,12/22/2020,电脑,女
269220,12/1/2020,电脑,男
428973,11/4/2020,电脑,女
219140,10/6/2020,手机,女
242895,12/22/2020,电脑,男
269135,11/25/2020,电脑,男
406079,1/13/2021,手机,男
431486,1/14/2021,电脑,女
345574,10/10/2020,手机,女
310911,10/6/2020,电脑,男
236433,11/9/2020,手机,女
240237,1/28/2021,电脑,女
482186,1/21/2021,电脑,女
276250,11/29/2020,手机,男
493843,11/16/2020,电脑,男
